Frame	Temps(s)	X(m)	Y(m)	Z(m)
129	1776691747.236	-0.2193	0.221	2.5639
130	1776691747.272	-0.2242	0.2213	2.5577
131	1776691747.305	-0.221	0.2212	2.5614
132	1776691747.337	-0.2214	0.222	2.5616
133	1776691747.364	-0.2285	0.2216	2.5568
134	1776691747.395	-0.2322	0.2225	2.5522
135	1776691747.427	-0.235	0.2235	2.55
136	1776691747.459	-0.224	0.2229	2.5608
137	1776691747.488	-0.2019	0.2214	2.5747
138	1776691747.522	-0.2016	0.2213	2.5729
139	1776691747.538	-0.2025	0.2212	2.5753
140	1776691747.576	-0.2048	0.2212	2.5709
141	1776691747.611	-0.234	0.2245	2.5494
142	1776691747.633	-0.2345	0.2233	2.5497
143	1776691747.669	-0.2348	0.2236	2.5475
144	1776691747.7	-0.2328	0.2216	2.5536
145	1776691747.733	-0.2333	0.2231	2.5513
146	1776691747.76	-0.2333	0.2232	2.5516
147	1776691747.776	-0.2326	0.223	2.5519
148	1776691747.807	-0.2344	0.2228	2.5507
149	1776691747.839	-0.2313	0.2225	2.5526
150	1776691747.867	-0.2343	0.2226	2.5511
151	1776691747.891	-0.2354	0.2216	2.5527
152	1776691747.919	-0.2328	0.2225	2.5509
153	1776691747.935	-0.231	0.2227	2.5517
154	1776691747.975	-0.233	0.2231	2.551
155	1776691747.999	-0.2349	0.2218	2.5539
156	1776691748.03	-0.233	0.2227	2.5557
157	1776691748.062	-0.2351	0.2228	2.5502
158	1776691748.077	-0.2337	0.2211	2.5529
159	1776691748.133	-0.2334	0.2212	2.5525
160	1776691748.173	-0.2306	0.221	2.5558
161	1776691748.196	-0.2324	0.2211	2.5554
162	1776691748.23	-0.2323	0.2212	2.5558
163	1776691748.251	-0.2314	0.2213	2.5534
164	1776691748.283	-0.2315	0.2213	2.5531
165	1776691748.299	-0.2326	0.2225	2.5497
166	1776691748.33	-0.2315	0.2225	2.5491
167	1776691748.368	-0.2321	0.2224	2.5497
168	1776691748.394	-0.2328	0.2218	2.5543
169	1776691748.411	-0.234	0.2227	2.5495
170	1776691748.465	-0.23	0.222	2.5499
171	1776691748.489	-0.2338	0.2226	2.5467
172	1776691748.521	-0.234	0.223	2.5501
173	1776691748.538	-0.2322	0.223	2.5507
174	1776691748.57	-0.2351	0.2228	2.5504
175	1776691748.6	-0.2333	0.2224	2.5512
176	1776691748.616	-0.2317	0.2226	2.551
177	1776691748.647	-0.2315	0.2224	2.5515
178	1776691748.679	-0.2314	0.2224	2.5546
179	1776691748.694	-0.2323	0.2221	2.5532
180	1776691748.726	-0.2318	0.2225	2.5513
181	1776691748.758	-0.2342	0.222	2.5485
182	1776691748.774	-0.2342	0.2222	2.5494
183	1776691748.805	-0.2334	0.2218	2.5527
184	1776691748.841	-0.2331	0.2226	2.5498
185	1776691748.869	-0.2323	0.2221	2.5513
186	1776691748.885	-0.233	0.2205	2.555
187	1776691748.917	-0.2323	0.2207	2.5534
188	1776691748.948	-0.2308	0.2218	2.5548
189	1776691748.979	-0.2339	0.2226	2.5519
190	1776691748.995	-0.2341	0.2229	2.5496
191	1776691749.026	-0.233	0.2222	2.5512
192	1776691749.073	-0.233	0.2221	2.552
193	1776691749.092	-0.233	0.2213	2.5506
194	1776691749.129	-0.2315	0.2213	2.552
195	1776691749.152	-0.2307	0.2211	2.5536
196	1776691749.186	-0.2325	0.2216	2.5513
197	1776691749.199	-0.2304	0.2215	2.5528
198	1776691749.231	-0.2321	0.221	2.5539
199	1776691749.266	-0.2325	0.2215	2.5507
200	1776691749.294	-0.2305	0.2215	2.5525
201	1776691749.325	-0.2318	0.2211	2.5512
202	1776691749.341	-0.2348	0.2217	2.5496
203	1776691749.373	-0.2343	0.2212	2.5477
204	1776691749.404	-0.2352	0.2213	2.5467
205	1776691749.435	-0.2342	0.2214	2.545
206	1776691749.452	-0.2341	0.2211	2.5465
207	1776691749.489	-0.2351	0.2221	2.5422
208	1776691749.514	-0.2347	0.2212	2.5446
