Frame	Temps(s)	X(m)	Y(m)	Z(m)
1	1776692350.096	-0.7954	0.2227	2.6633
2	1776692350.316	-0.797	0.2241	2.6588
3	1776692350.366	-0.7967	0.2236	2.6606
4	1776692350.423	-0.7966	0.2247	2.6605
5	1776692350.475	-0.7963	0.2251	2.6603
6	1776692350.506	-0.7898	0.2233	2.6684
7	1776692350.564	-0.7849	0.222	2.6758
8	1776692350.601	-0.7988	0.2243	2.6591
9	1776692350.642	-0.7987	0.2255	2.6571
10	1776692350.68	-0.7988	0.226	2.6577
11	1776692350.696	-0.7961	0.2258	2.6607
12	1776692350.727	-0.7977	0.2259	2.6608
13	1776692350.766	-0.7979	0.225	2.66
14	1776692350.812	-0.7977	0.2251	2.6597
15	1776692350.842	-0.7981	0.2254	2.6593
16	1776692350.869	-0.7962	0.2246	2.6606
17	1776692350.885	-0.7989	0.2259	2.6561
18	1776692350.955	-0.7995	0.2261	2.6575
19	1776692350.98	-0.7916	0.2245	2.6677
20	1776692351.012	-0.7997	0.2253	2.6566
21	1776692351.043	-0.7965	0.2255	2.6602
22	1776692351.075	-0.797	0.2253	2.6601
23	1776692351.122	-0.7959	0.2249	2.6616
24	1776692351.154	-0.7957	0.2245	2.6611
25	1776692351.169	-0.7965	0.224	2.6617
26	1776692351.201	-0.7967	0.2242	2.6586
27	1776692351.232	-0.7974	0.2247	2.661
28	1776692351.264	-0.7979	0.2247	2.66
29	1776692351.28	-0.7967	0.2247	2.6622
30	1776692351.317	-0.795	0.2245	2.6629
31	1776692351.358	-0.7975	0.2248	2.6589
32	1776692351.39	-0.7967	0.2246	2.661
33	1776692351.406	-0.7974	0.2246	2.6591
34	1776692351.443	-0.7994	0.2247	2.656
35	1776692351.469	-0.7962	0.2249	2.6583
36	1776692351.495	-0.7963	0.2249	2.6595
37	1776692351.516	-0.796	0.2245	2.6609
38	1776692351.547	-0.7952	0.2251	2.6615
39	1776692351.579	-0.7992	0.2254	2.6555
40	1776692351.594	-0.7968	0.2254	2.659
41	1776692351.626	-0.7971	0.2248	2.6581
42	1776692351.657	-0.7962	0.2251	2.6592
43	1776692351.689	-0.7973	0.2245	2.6586
44	1776692351.704	-0.799	0.2256	2.6554
45	1776692351.736	-0.7968	0.2249	2.6591
46	1776692351.752	-0.7976	0.2247	2.6582
47	1776692351.783	-0.799	0.2253	2.6538
48	1776692351.798	-0.7964	0.2252	2.6577
49	1776692351.83	-0.796	0.2255	2.6595
50	1776692351.862	-0.7986	0.2257	2.6548
51	1776692351.893	-0.7985	0.2257	2.6566
52	1776692351.909	-0.7987	0.225	2.6568
53	1776692351.943	-0.7997	0.2249	2.6556
54	1776692351.956	-0.7984	0.2249	2.6567
55	1776692351.987	-0.7991	0.2254	2.6559
56	1776692352.019	-0.8007	0.2258	2.6531
57	1776692352.043	-0.7979	0.2253	2.6581
58	1776692352.066	-0.8004	0.2263	2.654
59	1776692352.098	-0.7962	0.2258	2.6574
60	1776692352.113	-0.7965	0.2257	2.6585
61	1776692352.145	-0.7969	0.2244	2.6597
62	1776692352.177	-0.798	0.2258	2.6575
63	1776692352.193	-0.7966	0.2255	2.6579
64	1776692352.228	-0.7963	0.2251	2.6573
65	1776692352.274	-0.797	0.2246	2.6586
66	1776692352.315	-0.796	0.2249	2.6604
67	1776692352.35	-0.7982	0.2248	2.6573
68	1776692352.39	-0.796	0.2248	2.6594
69	1776692352.434	-0.7979	0.2249	2.657
70	1776692352.477	-0.7972	0.2251	2.6584
71	1776692352.499	-0.7964	0.2251	2.6578
72	1776692352.547	-0.7975	0.2253	2.6558
73	1776692352.571	-0.7979	0.2245	2.6579
74	1776692352.603	-0.7987	0.2243	2.6589
75	1776692352.618	-0.7975	0.2242	2.6607
76	1776692352.649	-0.7988	0.2239	2.6584
77	1776692352.681	-0.7986	0.224	2.6573
